from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT
1,,1.0000*,2,,1.0000,118.3,1000.0,11.8
1,,1.0000,39,,1.0000*,164.3,1000.0,16.4
2,,1.0000*,3,,1.0000,369.0,1000.0,36.9
2,,1.0000,25,,1.0000*,261.1,1000.0,26.1
3,,1.0000*,4,,1.0000,72.0,1000.0,7.2
3,,1.0000,18,,1.0000*,50.6,1000.0,5.1
4,,1.0000*,5,,1.0000,253.6,1000.0,25.4
4,,1.0000,14,,1.0000*,199.0,1000.0,19.9
5,,1.0000,6,,1.0000*,553.0,1000.0,55.3
5,,1.0000,8,,1.0000*,337.0,1000.0,33.7
6,,1.0000*,7,,1.0000,453.5,1000.0,45.4
6,,1.0000,11,,1.0000*,152.2,1000.0,15.2
7,,1.0000,8,,1.0000*,206.0,1000.0,20.6
8,,1.0000,9,,1.0000*,25.3,1000.0,2.5
9,,1.0000,39,,1.0000*,153.0,1000.0,15.3
10,,1.0000*,11,,1.0000,431.9,1000.0,43.2
10,,1.0000,13,,1.0000*,228.5,1000.0,22.8
13,,1.0000*,14,,1.0000,213.1,1000.0,21.3
14,,1.0000,15,,1.0000*,84.9,1000.0,8.5
15,,1.0000*,16,,1.0000,310.7,1000.0,31.1
16,,1.0000*,17,,1.0000,199.6,1000.0,20.0
16,,1.0000,19,,1.0000*,454.6,500.0,90.9
16,,1.0000,21,,1.0000*,336.3,500.0,67.3
16,,1.0000*,24,,1.0000,86.9,500.0,17.4
17,,1.0000*,18,,1.0000,184.6,500.0,36.9
17,,1.0000*,27,,1.0000,21.5,500.0,4.3
21,,1.0000,22,,1.0000*,611.5,500.0,122.3
22,,1.0000,23,,1.0000*,73.7,500.0,14.7
23,,1.0000*,24,,1.0000,354.6,500.0,70.9
25,,1.0000,26,,1.0000*,87.9,500.0,17.6
26,,1.0000,27,,1.0000*,279.4,500.0,55.9
26,,1.0000,28,,1.0000*,156.2,500.0,31.2
26,,1.0000,29,,1.0000*,207.3,500.0,41.5
28,,1.0000,29,,1.0000*,352.6,500.0,70.5
