from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3 PERCENT
1,,1.0000*,2,,1.0000,119.1,1000.0,11.9,1.0 11912.7
1,,1.0000,39,,1.0000*,161.8,1000.0,16.2,1.0 16182.7
2,,1.0000*,3,,1.0000,366.2,1000.0,36.6,1.0 36620.4
2,,1.0000,25,,1.0000*,260.3,1000.0,26.0,1.0 26031.0
3,,1.0000*,4,,1.0000,68.8,1000.0,6.9,1.0  6882.3
3,,1.0000,18,,1.0000*,88.0,1000.0,8.8,1.0  8801.3
4,,1.0000*,5,,1.0000,229.0,1000.0,22.9,1.0 22900.1
4,,1.0000,14,,1.0000*,261.1,1000.0,26.1,1.0 26106.8
5,,1.0000,6,,1.0000*,505.4,1000.0,50.5,1.0 50538.0
5,,1.0000,8,,1.0000*,338.5,1000.0,33.8,1.0 33849.8
6,,1.0000*,7,,1.0000,448.4,1000.0,44.8,1.0 44844.5
6,,1.0000,11,,1.0000*,372.1,1000.0,37.2,1.0 37206.6
7,,1.0000,8,,1.0000*,200.7,1000.0,20.1,1.0 20070.4
8,,1.0000,9,,1.0000*,26.5,1000.0,2.7,1.0  2652.1
9,,1.0000,39,,1.0000*,153.6,1000.0,15.4,1.0 15361.3
10,,1.0000*,11,,1.0000,355.3,1000.0,35.5,1.0 35525.4
10,,1.0000,13,,1.0000*,319.8,1000.0,32.0,1.0 31976.2
13,,1.0000,14,,1.0000*,309.8,1000.0,31.0,1.0 30977.8
14,,1.0000,15,,1.0000*,141.0,1000.0,14.1,1.0 14102.3
15,,1.0000*,16,,1.0000,268.0,1000.0,26.8,1.0 26799.7
16,,1.0000*,17,,1.0000,223.2,1000.0,22.3,1.0 22316.6
16,,1.0000,19,,1.0000*,1439.0,500.0,287.8,1.0143896.7
16,,1.0000*,21,,1.0000,317.9,500.0,63.6,1.0 31789.0
16,,1.0000*,24,,1.0000,342.4,500.0,68.5,1.0 34239.9
17,,1.0000*,18,,1.0000,189.3,500.0,37.9,1.0 18932.6
17,,1.0000*,27,,1.0000,47.4,500.0,9.5,1.0  4743.9
21,,1.0000*,22,,1.0000,159.6,500.0,31.9,1.0 15960.8
22,,1.0000,23,,1.0000*,319.8,500.0,64.0,1.0 31982.8
23,,1.0000,24,,1.0000*,52.4,500.0,10.5,1.0  5236.2
25,,1.0000,26,,1.0000*,93.6,500.0,18.7,1.0  9363.4
26,,1.0000,27,,1.0000*,286.7,500.0,57.3,1.0 28671.5
26,,1.0000,28,,1.0000*,152.8,500.0,30.6,1.0 15279.9
26,,1.0000,29,,1.0000*,204.1,500.0,40.8,1.0 20408.6
28,,1.0000,29,,1.0000*,351.5,500.0,70.3,1.0 35149.8
