NUMBER,ID,PMAX,PMIN,PGEN,QMAX,QMIN,QGEN,BusNum-GenID
30,1 ,500.0,0.0,250.0,800.0,-500.0,326.1887512207031,30-1 
31,1 ,750.0,0.0,657.9840087890625,800.0,-500.0,422.27154541015625,31-1 
32,1 ,750.0,0.0,650.0,800.0,-500.0,47.34934997558594,32-1 
33,1 ,750.0,0.0,632.0,800.0,-500.0,107.55398559570312,33-1 
34,1 ,650.0,0.0,508.0,800.0,-300.0,166.3453826904297,34-1 
35,1 ,750.0,0.0,650.0,800.0,-500.0,187.98171997070312,35-1 
36,1 ,670.0,0.0,560.0,800.0,-500.0,94.67171478271484,36-1 
37,1 ,700.0,0.0,540.0,800.0,-500.0,64.47662353515625,37-1 
37,2 ,400.0,0.0,1000.0,300.0,0.0,119.40115356445312,37-2 
38,1 ,1000.0,0.0,830.0,800.0,-500.0,66.31362915039062,38-1 
39,1 ,1500.0,0.0,1000.0,1500.0,-1000.0,59.56504440307617,39-1 
