from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT
1,,1.0000*,2,,1.0000,67.6,1000.0,6.8
1,,1.0000,39,,1.0000*,140.5,1000.0,14.1
2,,1.0000,3,,1.0000*,231.9,1000.0,23.2
2,,1.0000,25,,1.0000*,78.7,1000.0,7.9
3,,1.0000,4,,1.0000*,169.3,1000.0,16.9
3,,1.0000,18,,1.0000*,88.8,1000.0,8.9
4,,1.0000,5,,1.0000*,431.8,1000.0,43.2
4,,1.0000,14,,1.0000*,248.6,1000.0,24.9
5,,1.0000,6,,1.0000*,759.8,1000.0,76.0
5,,1.0000,8,,1.0000*,353.9,1000.0,35.4
6,,1.0000*,7,,1.0000,506.1,1000.0,50.6
6,,1.0000,11,,1.0000*,228.9,1000.0,22.9
7,,1.0000,8,,1.0000*,258.2,1000.0,25.8
8,,1.0000*,9,,1.0000,71.5,1000.0,7.1
9,,1.0000,39,,1.0000*,159.9,1000.0,16.0
10,,1.0000*,11,,1.0000,220.7,1000.0,22.1
10,,1.0000*,13,,1.0000,447.9,1000.0,44.8
13,,1.0000*,14,,1.0000,454.4,1000.0,45.4
14,,1.0000,15,,1.0000*,216.0,1000.0,21.6
15,,1.0000*,16,,1.0000,145.2,1000.0,14.5
16,,1.0000*,17,,1.0000,385.6,1000.0,38.6
16,,1.0000,19,,1.0000*,454.7,500.0,90.9
16,,1.0000,21,,1.0000*,335.4,500.0,67.1
16,,1.0000*,24,,1.0000,89.5,500.0,17.9
17,,1.0000*,18,,1.0000,92.5,500.0,18.5
17,,1.0000*,27,,1.0000,295.4,500.0,59.1
21,,1.0000,22,,1.0000*,612.1,500.0,122.4
22,,1.0000,23,,1.0000*,73.9,500.0,14.8
23,,1.0000*,24,,1.0000,354.4,500.0,70.9
25,,1.0000*,26,,1.0000,300.4,500.0,60.1
26,,1.0000,27,,1.0000*,75.2,500.0,15.0
26,,1.0000,28,,1.0000*,177.1,500.0,35.4
26,,1.0000,29,,1.0000*,69.9,500.0,14.0
28,,1.0000,29,,1.0000*,539.7,500.0,107.9
