NUMBER,PU,Angle
1,1.047961950302124,-0.1545582115650177
2,1.0505187511444092,-0.10623595863580704
3,1.03718900680542,-0.15708816051483154
4,1.0401512384414673,-0.1875474452972412
5,1.0603975057601929,-0.16753681004047394
6,1.0620369911193848,-0.15619726479053497
7,1.0491697788238525,-0.19039101898670197
8,1.046789288520813,-0.198106586933136
9,1.0491753816604614,-0.1901303082704544
10,1.047282338142395,-0.12153032422065735
11,1.0509546995162964,-0.13364148139953613
12,1.0339171886444092,-0.1351720243692398
13,1.041911005973816,-0.13498403131961823
14,1.0321890115737915,-0.16709773242473602
15,0.993654727935791,-0.2025626003742218
16,1.0067631006240845,-0.09501718729734421
17,1.0193922519683838,-0.12180262058973312
18,1.0247310400009155,-0.14299173653125763
19,1.0199071168899536,0.1789676994085312
20,0.9745261669158936,0.15249575674533844
21,1.014148473739624,-0.05168776214122772
22,1.0403631925582886,0.02756141684949398
23,1.0350264310836792,0.024046435952186584
24,1.0145140886306763,-0.09293957054615021
25,1.058287501335144,-0.07949870824813843
26,1.0469472408294678,-0.09531150758266449
27,1.0284218788146973,-0.12789279222488403
28,1.0474681854248047,-0.03375374898314476
29,1.048121690750122,0.014543845318257809
30,1.0475000143051147,-0.06407472491264343
31,0.9819999933242798,-0.02769487537443638
32,0.9830999970436096,0.01398730743676424
33,1.0,0.4211858808994293
34,1.0123000144958496,0.2437669336795807
35,1.049299955368042,0.1149473488330841
36,1.0635000467300415,0.16222989559173584
37,1.0277999639511108,0.03884998708963394
38,1.0264999866485596,0.13794828951358795
39,1.0299999713897705,-0.1837131679058075
