from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT
1,,1.0000*,2,,1.0000,86.2,1000.0,8.6
1,,1.0000,39,,1.0000*,145.4,1000.0,14.5
2,,1.0000*,3,,1.0000,371.3,1000.0,37.1
2,,1.0000,25,,1.0000*,224.4,1000.0,22.4
3,,1.0000,4,,1.0000*,57.8,1000.0,5.8
3,,1.0000,18,,1.0000*,108.0,1000.0,10.8
4,,1.0000,5,,1.0000*,425.8,1000.0,42.6
4,,1.0000,14,,1.0000*,147.2,1000.0,14.7
5,,1.0000,6,,1.0000*,734.9,1000.0,73.5
5,,1.0000,8,,1.0000*,337.7,1000.0,33.8
6,,1.0000*,7,,1.0000,488.1,1000.0,48.8
6,,1.0000,11,,1.0000*,194.4,1000.0,19.4
7,,1.0000,8,,1.0000*,240.4,1000.0,24.0
8,,1.0000*,9,,1.0000,40.8,1000.0,4.1
9,,1.0000,39,,1.0000*,149.2,1000.0,14.9
10,,1.0000*,11,,1.0000,183.6,1000.0,18.4
10,,1.0000*,13,,1.0000,490.5,1000.0,49.0
13,,1.0000*,14,,1.0000,500.1,1000.0,50.0
14,,1.0000*,15,,1.0000,362.0,1000.0,36.2
15,,1.0000,16,,1.0000*,474.8,1000.0,47.5
16,,1.0000*,17,,1.0000,65.7,1000.0,6.6
16,,1.0000,19,,1.0000*,455.2,500.0,91.0
16,,1.0000,21,,1.0000*,334.2,500.0,66.8
16,,1.0000*,24,,1.0000,93.7,500.0,18.7
17,,1.0000*,18,,1.0000,62.6,500.0,12.5
17,,1.0000*,27,,1.0000,34.4,500.0,6.9
21,,1.0000,22,,1.0000*,613.2,500.0,122.6
22,,1.0000,23,,1.0000*,74.2,500.0,14.8
23,,1.0000*,24,,1.0000,354.2,500.0,70.8
25,,1.0000,26,,1.0000*,121.9,500.0,24.4
26,,1.0000,27,,1.0000*,314.9,500.0,63.0
26,,1.0000,28,,1.0000*,154.9,500.0,31.0
26,,1.0000,29,,1.0000*,206.1,500.0,41.2
28,,1.0000,29,,1.0000*,352.1,500.0,70.4
