NUMBER,ID,PMAX,PMIN,PGEN,QMAX,QMIN,QGEN,BusNum-GenID
30,1 ,500.0,0.0,250.0,800.0,-500.0,310.1943054199219,30-1 
31,1 ,750.0,0.0,720.0105590820312,800.0,-500.0,476.6294860839844,31-1 
32,1 ,750.0,0.0,650.0,800.0,-500.0,98.52432250976562,32-1 
33,1 ,750.0,0.0,632.0,800.0,-500.0,181.83399963378906,33-1 
34,1 ,650.0,0.0,508.0,800.0,-300.0,200.76937866210938,34-1 
35,1 ,750.0,0.0,650.0,800.0,-500.0,292.9833984375,35-1 
36,1 ,670.0,0.0,560.0,800.0,-500.0,146.8672332763672,36-1 
37,1 ,700.0,0.0,540.0,800.0,-500.0,119.07901763916016,37-1 
38,1 ,1000.0,0.0,830.0,800.0,-500.0,507.8539733886719,38-1 
38,2 ,400.0,0.0,1000.0,300.0,0.0,300.0,38-2 
39,1 ,1500.0,0.0,1000.0,1500.0,-1000.0,67.17040252685547,39-1 
