Begin Report RATE_3
PSS(R)E Xplore-36.1.0 LIMIT CHECKING REPORT - BRANCH FLOWS          TUE, APR 29 2025  21:31
NEW ENGLAND TEST SYSTEM, 39 BUSES, 9 GENERATORS
CREATED BY PABLO LEDESMA PABLOLE@ING.UC3M.ES

SUBSYSTEM LOADING CHECK (INCLUDED: LINES; BREAKERS AND SWITCHES; TRANSFORMERS) (EXCLUDED: NONE)
MVA LOADINGS ABOVE 100.0 % OF BRANCH RATING:
LOADINGS ABOVE 100.0 % OF SWITCHING DEVICE RATING

X----------- FROM BUS ------------X X------------ TO BUS -------------X               RATING SET 1    RATING SET 3
  BUS#-SCT X-- NAME --X BASKV  AREA   BUS#-SCT X-- NAME --X BASKV  AREA CKT LOADING   RATE1 PERCENT   RATE3 PERCENT
     1     1           1.0000     1      2     2           1.0000*    1  1    337.3  1000.0    33.7     1.0 33728.0
     1     1           1.0000*    1     39     39          1.0000     1  1    329.1  1000.0    32.9     1.0 32905.6
     2     2           1.0000*    1      3     3           1.0000     1  1   1004.2  1000.0   100.4     1.0100423.9
     2     2           1.0000*    1     25     25          1.0000     1  1    107.5  1000.0    10.8     1.0 10754.1
     3     3           1.0000     1      4     4           1.0000*    1  1    619.4  1000.0    61.9     1.0 61941.0
     3     3           1.0000*    1     18     18          1.0000     1  1     78.3  1000.0     7.8     1.0  7827.6
     4     4           1.0000     1      5     5           1.0000*    1  1    415.4  1000.0    41.5     1.0 41541.8
     4     4           1.0000     1     14     14          1.0000*    1  1    264.7  1000.0    26.5     1.0 26465.6
     5     5           1.0000     1      6     6           1.0000*    1  1    804.7  1000.0    80.5     1.0 80469.0
     5     5           1.0000     1      8     8           1.0000*    1  1    202.1  1000.0    20.2     1.0 20211.0
     6     6           1.0000*    1      7     7           1.0000     1  1    386.9  1000.0    38.7     1.0 38689.2
     6     6           1.0000*    1     11     11          1.0000     1  1    600.0  1000.0    60.0     1.0 60002.4
     7     7           1.0000     1      8     8           1.0000*    1  1    140.1  1000.0    14.0     1.0 14008.8
     8     8           1.0000     1      9     9           1.0000*    1  1    221.8  1000.0    22.2     1.0 22176.1
     9     9           1.0000     1     39     39          1.0000*    1  1    254.1  1000.0    25.4     1.0 25410.2
    10     10          1.0000*    1     11     11          1.0000     1  1    569.9  1000.0    57.0     1.0 56992.9
    10     10          1.0000     1     13     13          1.0000*    1  1    124.3  1000.0    12.4     1.0 12431.1
    13     13          1.0000     1     14     14          1.0000*    1  1     91.2  1000.0     9.1     1.0  9119.6
    14     14          1.0000     1     15     15          1.0000*    1  1    224.3  1000.0    22.4     1.0 22434.0
    15     15          1.0000     1     16     16          1.0000*    1  1    533.3  1000.0    53.3     1.0 53329.6
    16     16          1.0000     1     17     17          1.0000*    1  1     63.1  1000.0     6.3     1.0  6311.6
    16     16          1.0000     1     19     19          1.0000*    1  1    458.6   500.0    91.7     1.0 45855.0
    16     16          1.0000     1     21     21          1.0000*    1  1    331.4   500.0    66.3     1.0 33143.2
    16     16          1.0000*    1     24     24          1.0000     1  1    107.3   500.0    21.5     1.0 10730.8
    17     17          1.0000     1     18     18          1.0000*    1  1    118.3   500.0    23.7     1.0 11830.8
    17     17          1.0000     1     27     27          1.0000*    1  1    139.9   500.0    28.0     1.0 13992.3
    21     21          1.0000     1     22     22          1.0000*    1  1    617.1   500.0   123.4     1.0 61709.8
    22     22          1.0000     1     23     23          1.0000*    1  1     75.2   500.0    15.0     1.0  7518.6
    23     23          1.0000*    1     24     24          1.0000     1  1    353.8   500.0    70.8     1.0 35384.1
    25     25          1.0000*    1     26     26          1.0000     1  1    235.6   500.0    47.1     1.0 23557.8
    26     26          1.0000*    1     27     27          1.0000     1  1    420.7   500.0    84.1     1.0 42069.9
    26     26          1.0000     1     28     28          1.0000*    1  1    147.3   500.0    29.5     1.0 14727.9
    26     26          1.0000     1     29     29          1.0000*    1  1    198.6   500.0    39.7     1.0 19862.7
    28     28          1.0000     1     29     29          1.0000*    1  1    350.1   500.0    70.0     1.0 35005.3
