NUMBER,ID,PMAX,PMIN,PGEN,QMAX,QMIN,QGEN,BusNum-GenID
30,1 ,500.0,0.0,250.0,800.0,-500.0,103.88581848144531,30-1 
31,1 ,750.0,0.0,1574.5174560546875,800.0,-500.0,709.6300048828125,31-1 
32,1 ,750.0,0.0,650.0,800.0,-500.0,76.63697052001953,32-1 
33,1 ,750.0,0.0,632.0,800.0,-500.0,83.18485260009766,33-1 
34,1 ,650.0,0.0,508.0,800.0,-300.0,155.05369567871094,34-1 
35,1 ,850.0,0.0,650.0,800.0,-500.0,182.21157836914062,35-1 
36,1 ,670.0,0.0,560.0,800.0,-500.0,84.04879760742188,36-1 
37,1 ,700.0,0.0,540.0,800.0,-500.0,-23.418214797973633,37-1 
38,1 ,1000.0,0.0,830.0,800.0,-500.0,7.3078813552856445,38-1 
39,1 ,1500.0,0.0,1000.0,1500.0,-1000.0,9.56851863861084,39-1 
