from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3 PERCENT
1,,1.0000*,2,,1.0000,123.0,1000.0,12.3,1.0 12303.2
1,,1.0000,39,,1.0000*,166.0,1000.0,16.6,1.0 16604.5
2,,1.0000*,3,,1.0000,367.4,1000.0,36.7,1.0 36736.9
2,,1.0000,25,,1.0000*,264.0,1000.0,26.4,1.0 26398.5
3,,1.0000,4,,1.0000*,85.9,1000.0,8.6,1.0  8591.5
3,,1.0000,18,,1.0000*,55.6,1000.0,5.6,1.0  5556.8
4,,1.0000*,5,,1.0000,140.7,1000.0,14.1,1.0 14068.6
4,,1.0000,14,,1.0000*,301.9,1000.0,30.2,1.0 30188.6
5,,1.0000,6,,1.0000*,1351.9,1000.0,135.2,1.0135186.2
5,,1.0000,8,,1.0000*,256.8,1000.0,25.7,1.0 25678.2
6,,1.0000*,7,,1.0000,530.1,1000.0,53.0,1.0 53010.9
6,,1.0000,11,,1.0000*,323.2,1000.0,32.3,1.0 32319.1
7,,1.0000,8,,1.0000*,282.6,1000.0,28.3,1.0 28255.7
8,,1.0000*,9,,1.0000,34.5,1000.0,3.4,1.0  3448.6
9,,1.0000,39,,1.0000*,137.5,1000.0,13.7,1.0 13745.5
10,,1.0000*,11,,1.0000,316.0,1000.0,31.6,1.0 31604.7
10,,1.0000*,13,,1.0000,341.7,1000.0,34.2,1.0 34170.3
13,,1.0000*,14,,1.0000,338.0,1000.0,33.8,1.0 33798.8
14,,1.0000,15,,1.0000*,77.1,1000.0,7.7,1.0  7711.3
15,,1.0000*,16,,1.0000,296.0,1000.0,29.6,1.0 29595.8
16,,1.0000*,17,,1.0000,217.7,1000.0,21.8,1.0 21767.2
16,,1.0000,19,,1.0000*,454.8,500.0,91.0,1.0 45476.7
16,,1.0000,21,,1.0000*,335.3,500.0,67.1,1.0 33532.8
16,,1.0000*,24,,1.0000,89.8,500.0,18.0,1.0  8983.0
17,,1.0000*,18,,1.0000,198.3,500.0,39.7,1.0 19829.5
17,,1.0000*,27,,1.0000,27.3,500.0,5.5,1.0  2727.3
21,,1.0000,22,,1.0000*,612.2,500.0,122.4,1.0 61220.4
22,,1.0000,23,,1.0000*,73.9,500.0,14.8,1.0  7390.2
23,,1.0000*,24,,1.0000,354.4,500.0,70.9,1.0 35439.7
25,,1.0000,26,,1.0000*,84.0,500.0,16.8,1.0  8400.0
26,,1.0000,27,,1.0000*,275.8,500.0,55.2,1.0 27575.2
26,,1.0000,28,,1.0000*,155.6,500.0,31.1,1.0 15563.4
26,,1.0000,29,,1.0000*,206.8,500.0,41.4,1.0 20676.6
28,,1.0000,29,,1.0000*,352.4,500.0,70.5,1.0 35236.8
