from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3 PERCENT
1,,1.0000,2,,1.0000*,337.3,1000.0,33.7,1.0 33728.0
1,,1.0000*,39,,1.0000,329.1,1000.0,32.9,1.0 32905.6
2,,1.0000*,3,,1.0000,1004.2,1000.0,100.4,1.0100423.9
2,,1.0000*,25,,1.0000,107.5,1000.0,10.8,1.0 10754.1
3,,1.0000,4,,1.0000*,619.4,1000.0,61.9,1.0 61941.0
3,,1.0000*,18,,1.0000,78.3,1000.0,7.8,1.0  7827.6
4,,1.0000,5,,1.0000*,415.4,1000.0,41.5,1.0 41541.8
4,,1.0000,14,,1.0000*,264.7,1000.0,26.5,1.0 26465.6
5,,1.0000,6,,1.0000*,804.7,1000.0,80.5,1.0 80469.0
5,,1.0000,8,,1.0000*,202.1,1000.0,20.2,1.0 20211.0
6,,1.0000*,7,,1.0000,386.9,1000.0,38.7,1.0 38689.2
6,,1.0000*,11,,1.0000,600.0,1000.0,60.0,1.0 60002.4
7,,1.0000,8,,1.0000*,140.1,1000.0,14.0,1.0 14008.8
8,,1.0000,9,,1.0000*,221.8,1000.0,22.2,1.0 22176.1
9,,1.0000,39,,1.0000*,254.1,1000.0,25.4,1.0 25410.2
10,,1.0000*,11,,1.0000,569.9,1000.0,57.0,1.0 56992.9
10,,1.0000,13,,1.0000*,124.3,1000.0,12.4,1.0 12431.1
13,,1.0000,14,,1.0000*,91.2,1000.0,9.1,1.0  9119.6
14,,1.0000,15,,1.0000*,224.3,1000.0,22.4,1.0 22434.0
15,,1.0000,16,,1.0000*,533.3,1000.0,53.3,1.0 53329.6
16,,1.0000,17,,1.0000*,63.1,1000.0,6.3,1.0  6311.6
16,,1.0000,19,,1.0000*,458.6,500.0,91.7,1.0 45855.0
16,,1.0000,21,,1.0000*,331.4,500.0,66.3,1.0 33143.2
16,,1.0000*,24,,1.0000,107.3,500.0,21.5,1.0 10730.8
17,,1.0000,18,,1.0000*,118.3,500.0,23.7,1.0 11830.8
17,,1.0000,27,,1.0000*,139.9,500.0,28.0,1.0 13992.3
21,,1.0000,22,,1.0000*,617.1,500.0,123.4,1.0 61709.8
22,,1.0000,23,,1.0000*,75.2,500.0,15.0,1.0  7518.6
23,,1.0000*,24,,1.0000,353.8,500.0,70.8,1.0 35384.1
25,,1.0000*,26,,1.0000,235.6,500.0,47.1,1.0 23557.8
26,,1.0000*,27,,1.0000,420.7,500.0,84.1,1.0 42069.9
26,,1.0000,28,,1.0000*,147.3,500.0,29.5,1.0 14727.9
26,,1.0000,29,,1.0000*,198.6,500.0,39.7,1.0 19862.7
28,,1.0000,29,,1.0000*,350.1,500.0,70.0,1.0 35005.3
