from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3,PERCENT.1
1,,1.0000*,2,,1.0000,123.0,1000.0,12.3,1.0,12295.2
1,,1.0000,39,,1.0000*,164.9,1000.0,16.5,1.0,16491.9
2,,1.0000*,3,,1.0000,365.5,1000.0,36.6,1.0,36554.3
2,,1.0000,25,,1.0000*,264.2,1000.0,26.4,1.0,26416.4
3,,1.0000*,4,,1.0000,80.2,1000.0,8.0,1.0,8016.2
3,,1.0000,18,,1.0000*,85.9,1000.0,8.6,1.0,8594.1
4,,1.0000*,5,,1.0000,213.4,1000.0,21.3,1.0,21344.7
4,,1.0000,14,,1.0000*,266.3,1000.0,26.6,1.0,26628.3
5,,1.0000,6,,1.0000*,486.9,1000.0,48.7,1.0,48686.6
5,,1.0000,8,,1.0000*,338.8,1000.0,33.9,1.0,33880.2
6,,1.0000*,7,,1.0000,445.1,1000.0,44.5,1.0,44512.2
6,,1.0000,11,,1.0000*,384.4,1000.0,38.4,1.0,38442.8
7,,1.0000,8,,1.0000*,197.4,1000.0,19.7,1.0,19740.7
8,,1.0000,9,,1.0000*,29.9,1000.0,3.0,1.0,2986.2
9,,1.0000,39,,1.0000*,156.0,1000.0,15.6,1.0,15598.1
10,,1.0000*,11,,1.0000,367.1,1000.0,36.7,1.0,36707.5
10,,1.0000,13,,1.0000*,306.9,1000.0,30.7,1.0,30691.7
13,,1.0000,14,,1.0000*,296.1,1000.0,29.6,1.0,29610.0
14,,1.0000,15,,1.0000*,129.8,1000.0,13.0,1.0,12981.6
15,,1.0000*,16,,1.0000,287.5,1000.0,28.8,1.0,28751.8
16,,1.0000*,17,,1.0000,231.3,1000.0,23.1,1.0,23133.7
16,,1.0000,19,,1.0000*,459.8,500.0,92.0,1.0,45983.2
16,,1.0000,21,,1.0000*,482.1,500.0,96.4,1.0,48212.7
16,,1.0000*,24,,1.0000,94.4,500.0,18.9,1.0,9435.5
17,,1.0000*,18,,1.0000,199.3,500.0,39.9,1.0,19928.1
17,,1.0000*,27,,1.0000,43.8,500.0,8.8,1.0,4382.3
21,,1.0000,22,,1.0000*,727.8,500.0,145.6,1.0,72778.1
22,,1.0000,23,,1.0000*,929.1,500.0,185.8,1.0,92909.8
23,,1.0000*,24,,1.0000,239.1,500.0,47.8,1.0,23914.4
25,,1.0000,26,,1.0000*,89.6,500.0,17.9,1.0,8955.2
26,,1.0000,27,,1.0000*,281.9,500.0,56.4,1.0,28193.1
26,,1.0000,28,,1.0000*,153.5,500.0,30.7,1.0,15347.8
26,,1.0000,29,,1.0000*,204.7,500.0,40.9,1.0,20473.2
28,,1.0000,29,,1.0000*,351.7,500.0,70.3,1.0,35170.1
