NUMBER,ID,PMAX,PMIN,PGEN,QMAX,QMIN,QGEN,BusNum-GenID
30,1 ,500.0,0.0,250.0,800.0,-500.0,367.61285400390625,30-1 
31,1 ,750.0,0.0,677.6737060546875,800.0,-500.0,476.9957580566406,31-1 
32,1 ,750.0,0.0,650.0,800.0,-500.0,92.05835723876953,32-1 
33,1 ,750.0,0.0,632.0,800.0,-500.0,119.41987609863281,33-1 
34,1 ,650.0,0.0,508.0,800.0,-300.0,171.84413146972656,34-1 
35,1 ,750.0,0.0,650.0,800.0,-500.0,222.8804168701172,35-1 
36,1 ,670.0,0.0,560.0,800.0,-500.0,107.1115951538086,36-1 
37,1 ,700.0,0.0,540.0,800.0,-500.0,65.07625579833984,37-1 
37,2 ,400.0,0.0,1000.0,300.0,0.0,120.51158142089844,37-2 
38,1 ,1000.0,0.0,830.0,800.0,-500.0,62.57864761352539,38-1 
39,1 ,1500.0,0.0,1000.0,1500.0,-1000.0,102.5105209350586,39-1 
