from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3,PERCENT.1
1,,1.0000,2,,1.0000*,226.3,1000.0,22.6,1.0,22632.1
1,,1.0000,39,,1.0000*,210.0,1000.0,21.0,1.0,20997.9
2,,1.0000*,3,,1.0000,649.3,1000.0,64.9,1.0,64929.5
2,,1.0000,25,,1.0000*,713.7,1000.0,71.4,1.0,71365.3
3,,1.0000,4,,1.0000*,565.7,1000.0,56.6,1.0,56565.1
3,,1.0000,18,,1.0000*,257.1,1000.0,25.7,1.0,25709.7
4,,1.0000,5,,1.0000*,467.2,1000.0,46.7,1.0,46722.0
4,,1.0000,14,,1.0000*,538.3,1000.0,53.8,1.0,53829.9
5,,1.0000,6,,1.0000*,669.0,1000.0,66.9,1.0,66900.1
5,,1.0000,8,,1.0000*,266.5,1000.0,26.7,1.0,26652.5
6,,1.0000*,7,,1.0000,422.4,1000.0,42.2,1.0,42235.6
6,,1.0000,11,,1.0000*,382.7,1000.0,38.3,1.0,38272.9
7,,1.0000,8,,1.0000*,174.7,1000.0,17.5,1.0,17474.4
8,,1.0000*,9,,1.0000,110.8,1000.0,11.1,1.0,11076.7
9,,1.0000,39,,1.0000*,158.4,1000.0,15.8,1.0,15837.5
10,,1.0000*,11,,1.0000,366.5,1000.0,36.7,1.0,36653.3
10,,1.0000,13,,1.0000*,321.0,1000.0,32.1,1.0,32097.5
13,,1.0000,14,,1.0000*,304.7,1000.0,30.5,1.0,30466.3
14,,1.0000,15,,1.0000*,277.1,1000.0,27.7,1.0,27706.8
15,,1.0000,16,,1.0000*,577.2,1000.0,57.7,1.0,57720.8
16,,1.0000,17,,1.0000*,235.5,1000.0,23.5,1.0,23548.6
16,,1.0000,19,,1.0000*,474.7,500.0,94.9,1.0,47465.0
16,,1.0000*,21,,1.0000,331.4,500.0,66.3,1.0,33136.2
16,,1.0000*,24,,1.0000,137.3,500.0,27.5,1.0,13728.8
17,,1.0000*,18,,1.0000,403.3,500.0,80.7,1.0,40333.1
17,,1.0000*,27,,1.0000,558.3,500.0,111.7,1.0,55830.9
21,,1.0000,22,,1.0000*,629.1,500.0,125.8,1.0,62907.1
22,,1.0000,23,,1.0000*,77.4,500.0,15.5,1.0,7737.6
23,,1.0000*,24,,1.0000,355.7,500.0,71.1,1.0,35572.4
25,,1.0000*,26,,1.0000,457.9,500.0,91.6,1.0,45790.6
26,,1.0000,27,,1.0000*,787.0,500.0,157.4,1.0,78701.8
26,,1.0000*,28,,1.0000,628.6,500.0,125.7,1.0,62859.4
26,,1.0000,29,,1.0000*,679.4,500.0,135.9,1.0,67943.0
28,,1.0000,29,,1.0000*,842.7,500.0,168.5,1.0,84273.0
