from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3 PERCENT
1,,1.0000*,2,,1.0000,75.7,1000.0,7.6,1.0  7569.8
1,,1.0000,39,,1.0000*,135.2,1000.0,13.5,1.0 13518.9
2,,1.0000*,3,,1.0000,419.4,1000.0,41.9,1.0 41942.1
2,,1.0000,25,,1.0000*,256.2,1000.0,25.6,1.0 25620.8
3,,1.0000,4,,1.0000*,167.4,1000.0,16.7,1.0 16744.1
3,,1.0000,18,,1.0000*,65.8,1000.0,6.6,1.0  6578.4
4,,1.0000,5,,1.0000*,851.8,1000.0,85.2,1.0 85181.4
4,,1.0000,14,,1.0000*,508.8,1000.0,50.9,1.0 50876.0
5,,1.0000,6,,1.0000*,1129.8,1000.0,113.0,1.0112982.0
5,,1.0000,8,,1.0000*,297.1,1000.0,29.7,1.0 29712.7
6,,1.0000*,7,,1.0000,528.7,1000.0,52.9,1.0 52869.3
6,,1.0000,11,,1.0000*,100.8,1000.0,10.1,1.0 10078.3
7,,1.0000*,8,,1.0000,282.1,1000.0,28.2,1.0 28205.2
8,,1.0000*,9,,1.0000,71.7,1000.0,7.2,1.0  7171.5
9,,1.0000,39,,1.0000*,115.3,1000.0,11.5,1.0 11533.2
10,,1.0000*,11,,1.0000,102.8,1000.0,10.3,1.0 10275.4
10,,1.0000*,13,,1.0000,552.8,1000.0,55.3,1.0 55275.1
13,,1.0000*,14,,1.0000,567.6,1000.0,56.8,1.0 56755.9
14,,1.0000,15,,1.0000*,63.6,1000.0,6.4,1.0  6358.7
15,,1.0000*,16,,1.0000,291.2,1000.0,29.1,1.0 29119.3
16,,1.0000*,17,,1.0000,234.8,1000.0,23.5,1.0 23475.9
16,,1.0000,19,,1.0000*,456.1,500.0,91.2,1.0 45606.8
16,,1.0000,21,,1.0000*,333.1,500.0,66.6,1.0 33307.7
16,,1.0000*,24,,1.0000,98.3,500.0,19.7,1.0  9831.9
17,,1.0000*,18,,1.0000,219.2,500.0,43.8,1.0 21920.2
17,,1.0000*,27,,1.0000,34.5,500.0,6.9,1.0  3452.9
21,,1.0000,22,,1.0000*,614.4,700.0,87.8,1.0 61438.9
22,,1.0000,23,,1.0000*,74.5,500.0,14.9,1.0  7452.9
23,,1.0000*,24,,1.0000,354.0,500.0,70.8,1.0 35397.0
25,,1.0000,26,,1.0000*,87.2,500.0,17.4,1.0  8720.6
26,,1.0000,27,,1.0000*,280.7,500.0,56.1,1.0 28066.8
26,,1.0000,28,,1.0000*,153.8,500.0,30.8,1.0 15380.0
26,,1.0000,29,,1.0000*,205.0,500.0,41.0,1.0 20503.8
28,,1.0000,29,,1.0000*,351.8,500.0,70.4,1.0 35179.8
