from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3 PERCENT
1,,1.0000,2,,1.0000*,178.8,1000.0,17.9,1.0 17884.2
1,,1.0000,39,,1.0000*,187.9,1000.0,18.8,1.0 18794.6
2,,1.0000*,3,,1.0000,430.8,1000.0,43.1,1.0 43080.4
2,,1.0000,25,,1.0000*,358.3,1000.0,35.8,1.0 35829.7
3,,1.0000*,4,,1.0000,480.1,1000.0,48.0,1.0 48011.5
3,,1.0000,18,,1.0000*,417.5,1000.0,41.7,1.0 41748.4
4,,1.0000,5,,1.0000*,430.1,1000.0,43.0,1.0 43012.4
4,,1.0000*,14,,1.0000,657.4,1000.0,65.7,1.0 65737.2
5,,1.0000,6,,1.0000*,652.2,1000.0,65.2,1.0 65222.4
5,,1.0000,8,,1.0000*,286.9,1000.0,28.7,1.0 28689.9
6,,1.0000*,7,,1.0000,436.5,1000.0,43.6,1.0 43646.9
6,,1.0000,11,,1.0000*,466.4,1000.0,46.6,1.0 46642.2
7,,1.0000,8,,1.0000*,188.9,1000.0,18.9,1.0 18888.7
8,,1.0000*,9,,1.0000,80.7,1000.0,8.1,1.0  8071.9
9,,1.0000,39,,1.0000*,134.7,1000.0,13.5,1.0 13467.5
10,,1.0000*,11,,1.0000,442.7,1000.0,44.3,1.0 44267.2
10,,1.0000,13,,1.0000*,273.3,1000.0,27.3,1.0 27328.4
13,,1.0000,14,,1.0000*,249.6,1000.0,25.0,1.0 24960.9
14,,1.0000*,15,,1.0000,486.6,1000.0,48.7,1.0 48658.7
15,,1.0000,16,,1.0000*,778.0,1000.0,77.8,1.0 77804.5
16,,1.0000,17,,1.0000*,700.8,1000.0,70.1,1.0 70075.2
16,,1.0000,19,,1.0000*,502.9,500.0,100.6,1.0 50292.9
16,,1.0000*,21,,1.0000,865.9,500.0,173.2,1.0 86585.2
16,,1.0000*,24,,1.0000,503.2,500.0,100.6,1.0 50318.2
17,,1.0000,18,,1.0000*,562.9,500.0,112.6,1.0 56290.3
17,,1.0000*,27,,1.0000,160.7,500.0,32.1,1.0 16074.7
21,,1.0000,22,,1.0000*,1146.7,500.0,229.3,1.0114669.1
22,,1.0000*,23,,1.0000,602.4,500.0,120.5,1.0 60240.4
23,,1.0000,24,,1.0000*,823.5,500.0,164.7,1.0 82354.9
25,,1.0000,26,,1.0000*,84.8,500.0,17.0,1.0  8480.9
26,,1.0000,27,,1.0000*,230.2,500.0,46.0,1.0 23024.2
26,,1.0000,28,,1.0000*,147.0,500.0,29.4,1.0 14696.9
26,,1.0000,29,,1.0000*,198.3,500.0,39.7,1.0 19830.4
28,,1.0000,29,,1.0000*,350.0,500.0,70.0,1.0 34998.7
