from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3,PERCENT.1
1,,1.0000*,2,,1.0000,123.3,1000.0,12.3,1.0,12329.2
1,,1.0000,39,,1.0000*,167.2,1000.0,16.7,1.0,16719.2
2,,1.0000*,3,,1.0000,365.0,1000.0,36.5,1.0,36496.9
2,,1.0000,25,,1.0000*,263.7,1000.0,26.4,1.0,26367.1
3,,1.0000*,4,,1.0000,75.7,1000.0,7.6,1.0,7568.5
3,,1.0000,18,,1.0000*,64.0,1000.0,6.4,1.0,6404.9
4,,1.0000*,5,,1.0000,209.7,1000.0,21.0,1.0,20966.7
4,,1.0000,14,,1.0000*,263.4,1000.0,26.3,1.0,26342.8
5,,1.0000,6,,1.0000*,491.9,1000.0,49.2,1.0,49189.2
5,,1.0000,8,,1.0000*,340.4,1000.0,34.0,1.0,34036.3
6,,1.0000*,7,,1.0000,446.4,1000.0,44.6,1.0,44641.9
6,,1.0000,11,,1.0000*,379.4,1000.0,37.9,1.0,37940.5
7,,1.0000,8,,1.0000*,198.7,1000.0,19.9,1.0,19868.9
8,,1.0000,9,,1.0000*,34.2,1000.0,3.4,1.0,3417.6
9,,1.0000,39,,1.0000*,160.9,1000.0,16.1,1.0,16089.5
10,,1.0000*,11,,1.0000,363.0,1000.0,36.3,1.0,36297.0
10,,1.0000,13,,1.0000*,307.7,1000.0,30.8,1.0,30770.3
13,,1.0000*,14,,1.0000,299.1,1000.0,29.9,1.0,29910.4
14,,1.0000,15,,1.0000*,107.8,1000.0,10.8,1.0,10784.5
15,,1.0000*,16,,1.0000,285.6,1000.0,28.6,1.0,28560.4
16,,1.0000*,17,,1.0000,210.8,1000.0,21.1,1.0,21083.8
16,,1.0000,19,,1.0000*,440.3,500.0,88.1,1.0,44030.5
16,,1.0000,21,,1.0000*,334.4,500.0,66.9,1.0,33441.3
16,,1.0000*,24,,1.0000,93.0,500.0,18.6,1.0,9297.3
17,,1.0000*,18,,1.0000,190.4,500.0,38.1,1.0,19040.3
17,,1.0000*,27,,1.0000,27.6,500.0,5.5,1.0,2759.2
21,,1.0000,22,,1.0000*,613.0,500.0,122.6,1.0,61297.0
22,,1.0000,23,,1.0000*,74.1,500.0,14.8,1.0,7413.5
23,,1.0000*,24,,1.0000,354.2,500.0,70.8,1.0,35420.3
25,,1.0000,26,,1.0000*,87.4,500.0,17.5,1.0,8735.8
26,,1.0000,27,,1.0000*,278.9,500.0,55.8,1.0,27888.0
26,,1.0000,28,,1.0000*,155.6,500.0,31.1,1.0,15563.1
26,,1.0000,29,,1.0000*,206.8,500.0,41.4,1.0,20676.3
28,,1.0000,29,,1.0000*,352.4,500.0,70.5,1.0,35236.8
