NUMBER,ID,PMAX,PMIN,PGEN,QMAX,QMIN,QGEN,BusNum-GenID
30,1 ,500.0,0.0,250.0,800.0,-500.0,107.1925277709961,30-1 
31,1 ,750.0,0.0,1585.8841552734375,800.0,-500.0,725.0809936523438,31-1 
32,1 ,750.0,0.0,650.0,800.0,-500.0,101.05755615234375,32-1 
33,1 ,750.0,0.0,632.0,800.0,-500.0,142.3602294921875,33-1 
34,1 ,650.0,0.0,508.0,800.0,-300.0,168.12680053710938,34-1 
35,1 ,850.0,0.0,650.0,800.0,-500.0,201.77145385742188,35-1 
36,1 ,670.0,0.0,560.0,800.0,-500.0,95.14104461669922,36-1 
37,1 ,700.0,0.0,540.0,800.0,-500.0,-0.3642055094242096,37-1 
38,1 ,1000.0,0.0,830.0,800.0,-500.0,21.79081916809082,38-1 
39,1 ,1500.0,0.0,1000.0,1500.0,-1000.0,12.131719589233398,39-1 
