NUMBER,PU,Angle
1,1.051485300064087,-0.47464048862457275
2,1.055631399154663,-0.47234585881233215
3,1.0429185628890991,-0.522576630115509
4,1.033743143081665,-0.4669843912124634
5,1.0455965995788574,-0.38669300079345703
6,1.0466184616088867,-0.3626512289047241
7,1.0342010259628296,-0.40707847476005554
8,1.0322661399841309,-0.4197086989879608
9,1.0424094200134277,-0.45327240228652954
10,1.0395926237106323,-0.36487630009651184
11,1.0408616065979004,-0.3649451732635498
12,1.025303840637207,-0.378667414188385
13,1.0353658199310303,-0.3907049298286438
14,1.0309653282165527,-0.45477768778800964
15,1.0223896503448486,-0.572823166847229
16,1.0357028245925903,-0.5963094830513
17,1.038644790649414,-0.5750695466995239
18,1.0387372970581055,-0.5623733401298523
19,1.0496336221694946,-0.6961939334869385
20,0.9907523393630981,-0.7208501100540161
21,1.0345258712768555,-0.5544999241828918
22,1.0512757301330566,-0.477098673582077
23,1.0463213920593262,-0.48055094480514526
24,1.040892243385315,-0.5942206382751465
25,1.0577528476715088,-0.45739197731018066
26,1.052535891532898,-0.5107147097587585
27,1.0397642850875854,-0.5602913498878479
28,1.0503605604171753,-0.4494452178478241
29,1.0501058101654053,-0.4012998938560486
30,1.0475000143051147,-0.4303889572620392
31,0.9819999933242798,-0.02769487537443638
32,0.9830999970436096,-0.22835011780261993
33,0.9971999526023865,-0.7506591081619263
34,1.0123000144958496,-0.630255937576294
35,1.049299955368042,-0.3906221091747284
36,1.0635000467300415,-0.3436668813228607
37,1.0277999639511108,-0.33899641036987305
38,1.0264999866485596,-0.2780320346355438
39,1.0299999713897705,-0.47543570399284363
