NUMBER,ID,PMAX,PMIN,PGEN,QMAX,QMIN,QGEN,BusNum-GenID
30,1 ,500.0,0.0,250.0,800.0,-500.0,95.59584045410156,30-1 
31,1 ,750.0,0.0,1571.1898193359375,800.0,-500.0,671.9857177734375,31-1 
32,1 ,750.0,0.0,650.0,800.0,-500.0,34.90715408325195,32-1 
33,1 ,750.0,0.0,632.0,800.0,-500.0,78.9756088256836,33-1 
34,1 ,650.0,0.0,508.0,800.0,-300.0,153.1033477783203,34-1 
35,1 ,850.0,0.0,650.0,800.0,-500.0,177.48863220214844,35-1 
36,1 ,670.0,0.0,560.0,800.0,-500.0,81.37049865722656,36-1 
37,1 ,700.0,0.0,540.0,800.0,-500.0,-26.092477798461914,37-1 
38,1 ,1000.0,0.0,830.0,800.0,-500.0,5.310980796813965,38-1 
39,1 ,1500.0,0.0,1000.0,1500.0,-1000.0,-7.350529670715332,39-1 
