from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3 PERCENT
1,,1.0000,2,,1.0000*,120.9,1000.0,12.1,1.0 12092.4
1,,1.0000,39,,1.0000*,157.6,1000.0,15.8,1.0 15759.8
2,,1.0000*,3,,1.0000,370.6,1000.0,37.1,1.0 37056.4
2,,1.0000,25,,1.0000*,260.6,1000.0,26.1,1.0 26059.7
3,,1.0000*,4,,1.0000,74.9,1000.0,7.5,1.0  7485.3
3,,1.0000,18,,1.0000*,126.0,1000.0,12.6,1.0 12601.5
4,,1.0000*,5,,1.0000,238.3,1000.0,23.8,1.0 23831.7
4,,1.0000,14,,1.0000*,265.7,1000.0,26.6,1.0 26571.1
5,,1.0000,6,,1.0000*,500.4,1000.0,50.0,1.0 50036.9
5,,1.0000,8,,1.0000*,335.9,1000.0,33.6,1.0 33593.4
6,,1.0000*,7,,1.0000,446.8,1000.0,44.7,1.0 44678.3
6,,1.0000,11,,1.0000*,378.7,1000.0,37.9,1.0 37871.2
7,,1.0000,8,,1.0000*,199.1,1000.0,19.9,1.0 19907.7
8,,1.0000*,9,,1.0000,27.2,1000.0,2.7,1.0  2717.0
9,,1.0000,39,,1.0000*,144.9,1000.0,14.5,1.0 14486.9
10,,1.0000*,11,,1.0000,360.4,1000.0,36.0,1.0 36041.0
10,,1.0000,13,,1.0000*,322.9,1000.0,32.3,1.0 32291.4
13,,1.0000,14,,1.0000*,310.3,1000.0,31.0,1.0 31034.2
14,,1.0000,15,,1.0000*,178.4,1000.0,17.8,1.0 17844.9
15,,1.0000,16,,1.0000*,275.7,1000.0,27.6,1.0 27570.9
16,,1.0000*,17,,1.0000,267.3,1000.0,26.7,1.0 26726.8
16,,1.0000,19,,1.0000*,482.9,500.0,96.6,1.0 48286.4
16,,1.0000*,21,,1.0000,997.9,500.0,199.6,1.0 99791.1
16,,1.0000,24,,1.0000*,394.4,500.0,78.9,1.0 39436.2
17,,1.0000*,18,,1.0000,208.6,500.0,41.7,1.0 20863.8
17,,1.0000*,27,,1.0000,75.3,500.0,15.1,1.0  7530.5
21,,1.0000,22,,1.0000*,1253.4,500.0,250.7,1.0125342.1
22,,1.0000*,23,,1.0000,414.5,500.0,82.9,1.0 41449.2
23,,1.0000*,24,,1.0000,712.9,500.0,142.6,1.0 71288.5
25,,1.0000,26,,1.0000*,99.4,500.0,19.9,1.0  9937.0
26,,1.0000,27,,1.0000*,295.0,500.0,59.0,1.0 29499.1
26,,1.0000,28,,1.0000*,149.6,500.0,29.9,1.0 14955.9
26,,1.0000,29,,1.0000*,200.9,500.0,40.2,1.0 20093.6
28,,1.0000,29,,1.0000*,350.6,500.0,70.1,1.0 35059.8
