from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT
1,,1.0000*,2,,1.0000,80.4,1000.0,8.0
1,,1.0000,39,,1.0000*,143.1,1000.0,14.3
2,,1.0000*,3,,1.0000,367.9,1000.0,36.8
2,,1.0000,25,,1.0000*,213.1,1000.0,21.3
3,,1.0000,4,,1.0000*,102.4,1000.0,10.2
3,,1.0000,18,,1.0000*,148.4,1000.0,14.8
4,,1.0000,5,,1.0000*,430.5,1000.0,43.0
4,,1.0000,14,,1.0000*,185.2,1000.0,18.5
5,,1.0000,6,,1.0000*,744.4,1000.0,74.4
5,,1.0000,8,,1.0000*,341.5,1000.0,34.2
6,,1.0000*,7,,1.0000,492.9,1000.0,49.3
6,,1.0000,11,,1.0000*,205.7,1000.0,20.6
7,,1.0000,8,,1.0000*,245.1,1000.0,24.5
8,,1.0000*,9,,1.0000,47.1,1000.0,4.7
9,,1.0000,39,,1.0000*,152.3,1000.0,15.2
10,,1.0000*,11,,1.0000,196.5,1000.0,19.6
10,,1.0000*,13,,1.0000,474.8,1000.0,47.5
13,,1.0000*,14,,1.0000,483.6,1000.0,48.4
14,,1.0000,15,,1.0000*,304.4,1000.0,30.4
15,,1.0000*,16,,1.0000,102.3,1000.0,10.2
16,,1.0000*,17,,1.0000,57.8,1000.0,5.8
16,,1.0000,19,,1.0000*,455.0,500.0,91.0
16,,1.0000,21,,1.0000*,334.6,500.0,66.9
16,,1.0000*,24,,1.0000,92.2,500.0,18.4
17,,1.0000*,18,,1.0000,25.2,500.0,5.0
17,,1.0000,27,,1.0000*,44.1,500.0,8.8
21,,1.0000,22,,1.0000*,612.8,500.0,122.6
22,,1.0000,23,,1.0000*,74.1,500.0,14.8
23,,1.0000*,24,,1.0000,354.2,500.0,70.8
25,,1.0000*,26,,1.0000,133.3,500.0,26.7
26,,1.0000,27,,1.0000*,325.9,500.0,65.2
26,,1.0000,28,,1.0000*,155.0,500.0,31.0
26,,1.0000,29,,1.0000*,206.2,500.0,41.2
28,,1.0000,29,,1.0000*,352.2,500.0,70.4
