from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3,PERCENT.1
1,,1.0000*,2,,1.0000,404.6,1000.0,40.5,1.0,40462.4
1,,1.0000,39,,1.0000*,416.3,1000.0,41.6,1.0,41629.1
2,,1.0000*,3,,1.0000,691.9,1000.0,69.2,1.0,69191.7
2,,1.0000,25,,1.0000*,68.8,1000.0,6.9,1.0,6884.9
3,,1.0000*,4,,1.0000,23.9,1000.0,2.4,1.0,2387.2
3,,1.0000*,18,,1.0000,372.2,1000.0,37.2,1.0,37222.1
4,,1.0000,5,,1.0000*,452.2,1000.0,45.2,1.0,45223.2
4,,1.0000,14,,1.0000*,77.0,1000.0,7.7,1.0,7695.0
5,,1.0000,6,,1.0000*,494.7,1000.0,49.5,1.0,49468.3
5,,1.0000,8,,1.0000*,188.2,1000.0,18.8,1.0,18823.9
6,,1.0000,7,,1.0000*,278.1,1000.0,27.8,1.0,27813.4
6,,1.0000,11,,1.0000*,170.2,1000.0,17.0,1.0,17022.9
7,,1.0000,8,,1.0000*,107.5,1000.0,10.8,1.0,10754.0
8,,1.0000*,9,,1.0000,505.8,1000.0,50.6,1.0,50582.6
9,,1.0000,39,,1.0000*,516.1,1000.0,51.6,1.0,51613.0
10,,1.0000*,11,,1.0000,159.6,1000.0,16.0,1.0,15959.0
10,,1.0000*,13,,1.0000,513.2,1000.0,51.3,1.0,51319.8
13,,1.0000*,14,,1.0000,523.8,1000.0,52.4,1.0,52378.4
14,,1.0000*,15,,1.0000,453.7,1000.0,45.4,1.0,45372.9
15,,1.0000*,16,,1.0000,174.3,1000.0,17.4,1.0,17425.8
16,,1.0000,17,,1.0000*,378.5,1000.0,37.8,1.0,37849.2
16,,1.0000,19,,1.0000*,458.4,500.0,91.7,1.0,45843.8
16,,1.0000,21,,1.0000*,331.5,500.0,66.3,1.0,33148.0
16,,1.0000*,24,,1.0000,107.0,500.0,21.4,1.0,10697.3
17,,1.0000,18,,1.0000*,213.6,500.0,42.7,1.0,21359.4
17,,1.0000,27,,1.0000*,169.1,500.0,33.8,1.0,16908.4
21,,1.0000,22,,1.0000*,617.0,500.0,123.4,1.0,61699.0
22,,1.0000,23,,1.0000*,75.2,500.0,15.0,1.0,7516.2
23,,1.0000*,24,,1.0000,353.8,500.0,70.8,1.0,35384.0
25,,1.0000*,26,,1.0000,261.9,500.0,52.4,1.0,26189.6
26,,1.0000*,27,,1.0000,452.3,500.0,90.5,1.0,45227.9
26,,1.0000,28,,1.0000*,149.8,500.0,30.0,1.0,14982.4
26,,1.0000,29,,1.0000*,201.2,500.0,40.2,1.0,20119.8
28,,1.0000,29,,1.0000*,350.7,500.0,70.1,1.0,35066.6
