Begin Report RATE_3
PSS(R)E Xplore-36.1.0 LIMIT CHECKING REPORT - BRANCH FLOWS          TUE, APR 29 2025  21:33
NEW ENGLAND TEST SYSTEM, 39 BUSES, 9 GENERATORS
CREATED BY PABLO LEDESMA PABLOLE@ING.UC3M.ES

SUBSYSTEM LOADING CHECK (INCLUDED: LINES; BREAKERS AND SWITCHES; TRANSFORMERS) (EXCLUDED: NONE)
MVA LOADINGS ABOVE 100.0 % OF BRANCH RATING:
LOADINGS ABOVE 100.0 % OF SWITCHING DEVICE RATING

X----------- FROM BUS ------------X X------------ TO BUS -------------X               RATING SET 1    RATING SET 3
  BUS#-SCT X-- NAME --X BASKV  AREA   BUS#-SCT X-- NAME --X BASKV  AREA CKT LOADING   RATE1 PERCENT   RATE3 PERCENT
     1     1           1.0000*    1      2     2           1.0000     1  1     47.4  1000.0     4.7     1.0  4735.8
     1     1           1.0000     1     39     39          1.0000*    1  1    126.5  1000.0    12.6     1.0 12648.4
     2     2           1.0000*    1      3     3           1.0000     1  1    376.8  1000.0    37.7     1.0 37678.4
     2     2           1.0000     1     25     25          1.0000*    1  1    155.8  1000.0    15.6     1.0 15579.2
     3     3           1.0000     1      4     4           1.0000*    1  1    285.6  1000.0    28.6     1.0 28564.6
     3     3           1.0000*    1     18     18          1.0000     1  1    325.7  1000.0    32.6     1.0 32568.7
     4     4           1.0000     1      5     5           1.0000*    1  1    687.2  1000.0    68.7     1.0 68721.1
     4     4           1.0000     1     14     14          1.0000*    1  1    106.3  1000.0    10.6     1.0 10631.4
     5     5           1.0000     1      6     6           1.0000*    1  1   1010.6  1000.0   101.1     1.0101055.7
     5     5           1.0000     1      8     8           1.0000*    1  1    340.2  1000.0    34.0     1.0 34017.2
     6     6           1.0000*    1      7     7           1.0000     1  1    542.1  1000.0    54.2     1.0 54205.7
     6     6           1.0000     1     11     11          1.0000*    1  1     86.4  1000.0     8.6     1.0  8641.2
     7     7           1.0000*    1      8     8           1.0000     1  1    295.4  1000.0    29.5     1.0 29538.8
     8     8           1.0000*    1      9     9           1.0000     1  1    112.4  1000.0    11.2     1.0 11244.8
     9     9           1.0000     1     39     39          1.0000*    1  1    145.0  1000.0    14.5     1.0 14495.6
    10     10          1.0000*    1     11     11          1.0000     1  1     35.0  1000.0     3.5     1.0  3502.5
    10     10          1.0000*    1     13     13          1.0000     1  1    653.3  1000.0    65.3     1.0 65328.2
    13     13          1.0000*    1     14     14          1.0000     1  1    677.3  1000.0    67.7     1.0 67725.1
    14     14          1.0000*    1     15     15          1.0000     1  1    574.4  1000.0    57.4     1.0 57444.8
    15     15          1.0000*    1     16     16          1.0000     1  1    298.2  1000.0    29.8     1.0 29815.2
    16     16          1.0000*    1     17     17          1.0000     1  1    260.3  1000.0    26.0     1.0 26029.1
    16     16          1.0000     1     19     19          1.0000*    1  1    459.3   500.0    91.9     1.0 45925.3
    16     16          1.0000     1     21     21          1.0000*    1  1    331.2   500.0    66.2     1.0 33116.6
    16     16          1.0000*    1     24     24          1.0000     1  1    109.3   500.0    21.9     1.0 10930.7
    17     17          1.0000     1     18     18          1.0000*    1  1    166.8   500.0    33.4     1.0 16676.1
    17     17          1.0000*    1     27     27          1.0000     1  1     95.1   500.0    19.0     1.0  9512.7
    21     21          1.0000     1     22     22          1.0000*    1  1    617.8   700.0    88.3     1.0 61775.6
    22     22          1.0000     1     23     23          1.0000*    1  1     75.3   500.0    15.1     1.0  7533.2
    23     23          1.0000*    1     24     24          1.0000     1  1    353.9   500.0    70.8     1.0 35385.6
    25     25          1.0000*    1     26     26          1.0000     1  1    185.5   500.0    37.1     1.0 18545.3
    26     26          1.0000*    1     27     27          1.0000     1  1    379.8   500.0    76.0     1.0 37982.1
    26     26          1.0000     1     28     28          1.0000*    1  1    151.6   500.0    30.3     1.0 15158.7
    26     26          1.0000     1     29     29          1.0000*    1  1    202.9   500.0    40.6     1.0 20292.0
    28     28          1.0000     1     29     29          1.0000*    1  1    351.1   500.0    70.2     1.0 35114.8
